2799,2567,27404,976,7489,30165,26540,4193,29224,5935,13540,
2816,7424,73,190,430,1105,2092,3127,6915,7002,7598,
2827,20536,15648,8512,25685,7686,31438,11468,34593,30905,27487,
2839,15420,23462,25224,1313,2483,2733,2841,3175,3666,3672,
2842,33923,9956,25102,9650,13394,28914,36058,7093,2508,11315,
2867,17963,4529,25964,30239,31332,8495,14157,5101,855,7412,
2870,7728,8134,10006,11237,11421,18573,21244,30936,6884,21421,
2890,17065,25726,21605,17592,17368,808,10889,14286,15124,
2927,14411,18266,15199,32065,23390,31027,21320,26133,14159,32807,
2940,2951,3755,4342,4597,9365,9773,9799,11289,14323,15628,
3047,191,1486,3844,6265,8623,10554,13419,13829,15083,15092,
3084,2776,3384,8546,15060,15834,16077,18493,25454,27575,33735,
3088,26770,
3120,473,3174,3306,11480,16322,36107,11363,33256,12059,15926,
3123,81,1169,1743,2487,2541,3189,3344,3465,3471,4983,
3133,10893,11461,17571,21606,11019,34385,12786,7851,6628,40,
3177,20684,
3179,9939,19735,34787,9496,2712,13479,2219,22090,2690,18758,
3187,577,26902,12133,34545,26213,13793,10579,2776,18689,9095,
3192,20446,
3197,20760,7029,1,152,549,1046,1153,1222,1448,1754,
3222,27269,32571,8357,775,18248,20973,25058,27751,4354,28488,
3225,2807,8034,16766,18004,29204,34228,30529,2029,2496,5416,
3247,33437,11047,31614,28370,32032,35520,17110,17800,16903,4112,
3269,22368,1753,6175,14818,15685,21292,24527,26722,31291,31796,
3284,1183,2828,3460,4470,5422,5615,6184,8532,8781,10850,
3292,32010,7073,13376,22884,17590,19829,17812,32747,4989,26209,
3296,16004,14515,10395,14391,19755,20980,7242,5102,10810,12708,
3299,11707,21456,
3320,11753,6572,11314,13242,22445,22736,17522,18296,30463,27677,
